행정동코드,자치구,행정동명,성별,연령대,총인구,1인가구수,커뮤니케이션이 적은 집단,평일 외출이 적은 집단,휴일 외출이 적은 집단,출근소요시간 및 근무시간이 많은 집단,외출이 매우 적은 집단 (전체),외출이 매우 많은 집단,동영상서비스 이용이 많은 집단,생활서비스 이용이 많은 집단,재정상태에 대한 관심집단,외출-커뮤니케이션이 모두 적은 집단 (전체)
1101060,종로구,가회동,2 ,55 ,182 ,36 ,6 ,6 ,4 ,8 ,10 ,1 ,8 ,3 ,2 ,5 
1101060,종로구,가회동,2 ,60 ,177 ,36 ,4 ,7 ,2 ,9 ,14 ,1 ,8 ,2 ,1 ,11 
1101060,종로구,가회동,2 ,65 ,144 ,46 ,2 ,9 ,4 ,8 ,0 ,0 ,8 ,5 ,2 ,0 
1101060,종로구,가회동,2 ,70 ,111 ,33 ,3 ,3 ,0 ,7 ,3 ,0 ,2 ,3 ,4 ,0 
1101060,종로구,가회동,2 ,75 ,201 ,75 ,6 ,5 ,2 ,3 ,3 ,0 ,3 ,4 ,2 ,3 
1101061,종로구,종로1·2·3·4가동,1 ,20 ,209 ,134 ,18 ,20 ,17 ,34 ,9 ,6 ,17 ,5 ,14 ,7 
1101061,종로구,종로1·2·3·4가동,1 ,25 ,366 ,234 ,29 ,45 ,35 ,60 ,26 ,15 ,45 ,36 ,37 ,19 
1101061,종로구,종로1·2·3·4가동,1 ,30 ,344 ,192 ,41 ,48 ,24 ,53 ,20 ,19 ,49 ,33 ,25 ,27 
1101061,종로구,종로1·2·3·4가동,1 ,35 ,294 ,149 ,34 ,34 ,17 ,34 ,16 ,13 ,33 ,15 ,13 ,22 
1101061,종로구,종로1·2·3·4가동,1 ,40 ,317 ,156 ,35 ,38 ,34 ,40 ,17 ,8 ,36 ,17 ,12 ,38 
1101061,종로구,종로1·2·3·4가동,1 ,45 ,374 ,181 ,49 ,53 ,28 ,58 ,33 ,8 ,53 ,13 ,14 ,46 
1101061,종로구,종로1·2·3·4가동,1 ,50 ,408 ,158 ,33 ,38 ,19 ,44 ,36 ,4 ,38 ,20 ,26 ,61 
1101061,종로구,종로1·2·3·4가동,1 ,55 ,447 ,192 ,34 ,43 ,35 ,50 ,37 ,3 ,41 ,30 ,19 ,48 
1101061,종로구,종로1·2·3·4가동,1 ,60 ,361 ,154 ,36 ,33 ,27 ,39 ,19 ,2 ,38 ,25 ,5 ,35 
1101061,종로구,종로1·2·3·4가동,1 ,65 ,272 ,114 ,32 ,24 ,24 ,25 ,27 ,1 ,22 ,14 ,13 ,30 
1101061,종로구,종로1·2·3·4가동,1 ,70 ,166 ,74 ,15 ,15 ,2 ,11 ,9 ,0 ,10 ,13 ,8 ,9 
1101061,종로구,종로1·2·3·4가동,1 ,75 ,246 ,112 ,7 ,4 ,18 ,7 ,11 ,1 ,4 ,6 ,14 ,5 
1101061,종로구,종로1·2·3·4가동,2 ,20 ,347 ,238 ,29 ,28 ,50 ,25 ,9 ,10 ,27 ,12 ,18 ,7 
1101061,종로구,종로1·2·3·4가동,2 ,25 ,285 ,197 ,14 ,14 ,33 ,28 ,4 ,14 ,20 ,22 ,25 ,4 
